 ,Area,Mean,Min,Max,Angle,Length
1,5.981,1885.023,1643.000,2341.000,33.690,25.337
2,7.078,1852.784,1630.320,2204.000,41.186,29.881
3,6.420,1939.137,1667.903,2320.082,34.509,27.289
4,6.420,1853.004,1660.506,2079.074,34.509,27.289
5,6.145,1888.344,1690.094,2110.861,40.601,25.915
6,6.859,1833.388,1562.430,2106.202,-39.094,28.974
7,6.036,1852.031,1547.000,1982.132,6.340,25.454
8,6.200,1917.182,1735.124,2303.369,36.254,26.143
9,6.200,1911.271,1582.842,2190.250,-36.254,26.143
10,6.255,1891.774,1686.076,2249.936,32.005,26.518
11,6.310,1871.837,1619.000,2134.105,18.435,26.667
12,6.530,1807.458,1496.000,2108.000,23.962,27.684
13,5.981,1974.080,1677.870,2544.741,-33.690,25.337
14,7.298,1829.251,1634.731,2167.438,39.472,30.952
15,6.420,1793.348,1543.581,2004.227,34.509,27.289
16,6.639,1905.498,1610.160,2374.520,-36.870,28.109
17,7.023,1836.548,1492.000,2163.850,8.130,29.814
18,7.243,1869.771,1629.000,2394.876,-15.945,30.696
19,6.639,1832.252,1569.560,2041.240,36.870,28.109
20,6.365,1872.790,1578.623,2322.954,-38.660,26.998
21,6.530,1858.108,1601.165,2181.865,-14.744,27.613
22,6.365,1823.730,1502.352,2059.835,38.660,26.998
23,6.530,1860.331,1646.903,2086.635,-30.466,27.720
24,6.420,1858.133,1571.807,2179.926,11.889,27.289
25,6.310,1783.989,1480.507,2075.665,18.435,26.667
26,6.914,1859.130,1594.760,2121.168,-16.699,29.347
27,7.462,1828.976,1576.800,2081.852,-12.804,31.709
28,6.969,1891.542,1537.551,2104.333,-25.346,29.548
29,7.407,1794.163,1464.148,2039.887,10.305,31.427
30,6.200,1857.654,1698.218,2065.913,36.254,26.143
31,7.462,1824.760,1447.800,2105.933,12.804,31.709
32,7.353,1832.728,1610.000,2183.448,35.838,31.206
33,6.420,1817.042,1516.857,2057.363,-11.889,27.289
34,7.023,1855.762,1577.050,2218.579,8.130,29.814
35,7.133,1795.573,1488.000,2189.257,27.759,30.177
36,6.310E-6,1974.530,1660.000,2183.950,18.435,0.027
37,7.737E-6,1935.424,1674.000,2141.592,-30.964,0.033
38,6.694E-6,1958.020,1692.000,2113.675,26.565,0.028
39,6.969E-6,1947.967,1704.524,2267.572,2.726,0.030
40,6.914E-6,1944.304,1764.655,2151.617,16.699,0.029
41,6.694E-6,1955.876,1722.364,2147.270,32.905,0.028
42,7.023E-6,1951.896,1720.276,2114.021,5.440,0.030
43,6.694E-6,1935.544,1700.640,2177.484,8.531,0.028
44,6.200E-6,1911.499,1655.004,2088.074,15.524,0.026
45,6.255E-6,1944.566,1680.457,2212.358,-25.201,0.026
46,6.749E-6,1950.596,1747.000,2140.000,11.310,0.029
47,6.255E-6,1999.409,1855.000,2165.430,25.201,0.026
48,6.420E-6,1947.939,1766.400,2134.784,-21.251,0.027
49,6.255E-6,1969.259,1767.110,2215.219,32.005,0.027
50,6.310E-6,1958.483,1775.036,2135.313,18.435,0.027
51,6.310E-6,1959.176,1761.000,2239.000,18.435,0.027
52,6.914E-6,1964.063,1735.499,2185.555,16.699,0.029
53,7.298E-6,1966.909,1562.500,2188.227,2.603,0.031
54,7.572E-6,2024.298,1758.000,2160.449,15.255,0.032
55,7.023E-6,1910.236,1678.988,2117.837,-19.290,0.030
56,7.353E-6,2053.744,1790.900,2210.208,7.765,0.031
57,6.639E-6,2011.494,1718.000,2350.480,36.870,0.028
58,6.694E-6,1959.132,1745.636,2153.777,32.905,0.028
59,6.200E-6,1985.914,1682.000,2166.854,15.524,0.026
60,7.023E-6,1938.213,1743.000,2133.211,8.130,0.030
61,7.298E-6,2019.483,1757.909,2241.114,30.069,0.031
62,6.859E-6,1962.607,1670.000,2167.167,22.834,0.029
63,6.420E-6,2027.063,1746.000,2198.005,21.251,0.027
64,6.310E-6,1938.186,1692.000,2196.000,18.435,0.027
65,6.365E-6,1910.135,1700.123,2110.142,-8.973,0.027
66,6.420E-6,1973.796,1756.540,2216.901,34.509,0.027
67,6.420E-6,1996.417,1776.000,2361.867,11.889,0.027
68,7.572E-6,1894.256,1668.415,2100.075,-23.199,0.032
69,6.914E-6,1934.562,1729.370,2140.538,35.218,0.029
70,6.859E-6,1951.669,1695.495,2165.985,39.094,0.029
71,6.036E-6,1920.517,1700.514,2090.379,-9.462,0.026
72,7.298E-6,1958.072,1619.446,2226.537,24.228,0.031
73,7.023E-6,1975.957,1743.993,2175.428,-5.440,0.030
74,7.188E-6,1933.193,1587.000,2151.106,-33.690,0.030
75,6.969E-6,1965.257,1778.000,2236.367,25.346,0.030
76,7.023E-6,1936.597,1707.543,2203.534,-19.290,0.030
77,7.298E-6,1930.392,1619.000,2135.512,39.472,0.031
78,6.091E-6,1968.337,1753.596,2195.069,29.358,0.026
79,6.914E-6,1930.237,1674.768,2213.404,35.218,0.029
80,7.188E-6,1964.284,1757.000,2240.289,-33.690,0.030
81,6.859E-6,1949.175,1736.650,2168.748,39.094,0.029
82,6.804E-6,1941.378,1627.976,2189.537,43.025,0.029
83,6.969E-6,1923.865,1650.143,2145.286,-2.726,0.030
84,7.133E-6,1910.333,1643.000,2188.761,21.801,0.030
85,6.639E-6,1915.904,1626.760,2229.840,36.870,0.028
86,7.298E-6,1961.134,1684.455,2262.909,-30.069,0.031
87,6.365E-6,1972.153,1709.016,2206.600,27.897,0.027
88,6.804E-6,1932.207,1668.526,2163.552,43.025,0.029
89,6.859E-6,1933.120,1694.435,2123.173,-29.055,0.029
90,7.188E-6,1936.689,1653.692,2154.379,-13.392,0.030
91,7.353E-6,1976.702,1732.973,2244.660,7.765,0.031
92,7.133E-6,1980.684,1784.000,2182.615,-27.759,0.030
93,6.969E-6,1954.438,1761.844,2180.775,-25.346,0.030
94,7.627E-6,1920.247,1648.000,2165.739,2.490,0.032
95,6.694E-6,1983.490,1821.910,2158.436,-5.711,0.028
96,7.956E-6,1855.453,1586.333,2106.500,2.386,0.034
97,6.694E-6,1936.225,1709.103,2196.481,5.711,0.028
98,6.584E-6,1946.593,1684.714,2248.839,13.570,0.028
99,7.078E-6,1878.841,1551.000,2205.312,3.576,0.030
100,7.133E-6,1973.387,1725.042,2187.361,16.189,0.030
101,7.353E-6,1931.169,1693.912,2161.097,-15.709,0.031
102,6.584E-6,1930.674,1717.000,2230.071,13.570,0.028
103,6.914E-6,1959.905,1689.516,2211.886,26.565,0.029
104,6.749E-6,1931.505,1701.832,2165.333,-23.199,0.029
105,6.475E-6,1879.130,1631.000,2171.245,7.853,0.027
106,6.639,1894.972,1613.080,2172.869,21.448,28.187
107,6.694,1881.993,1504.000,2247.955,-7.595,28.358
