 ,Area,Mean,Min,Max,Angle,Length
1,6.251E-6,22511.810,18407.830,33847.176,-9.462,0.017
2,1.300E-5,31617.225,18493.779,44436.387,-20.556,0.036
3,7.251E-6,21990.765,18451.650,38062.227,39.289,0.020
4,1.600E-5,30485.829,18917.785,42348.590,46.273,0.045
5,7.501E-6,24493.921,16952.277,43201.258,47.726,0.021
6,1.200E-5,29496.340,16561.072,43265.660,67.751,0.034
7,7.876E-6,23496.800,18565.248,38865.012,45.000,0.022
8,1.438E-5,30839.481,18370.664,42347.723,50.711,0.040
9,5.501E-6,20314.189,15794.714,32837.930,-41.186,0.015
10,1.300E-5,29889.061,15985.813,44012.953,-35.538,0.036
11,7.501E-6,26445.119,22687.160,39629.590,47.726,0.021
12,1.338E-5,31740.516,23008.490,44483.598,52.696,0.037
13,5.751E-6,21085.733,16470.834,26740.133,10.305,0.016
14,1.450E-5,31348.890,18050.676,44397.672,33.690,0.041
15,4.626E-6,16194.388,11647.412,21802.531,-90.000,0.013
16,1.213E-5,28431.304,11944.479,45561.363,-94.764,0.034
17,7.251E-6,19962.883,16543.441,28331.760,-8.130,0.020
18,1.375E-5,29502.400,16637.125,45013.758,-8.427,0.039
19,7.626E-6,23909.187,20459.074,38997.793,-3.814,0.021
20,1.513E-5,30814.183,20387.373,44643.723,3.814,0.043
21,4.751E-6,20824.286,17640.572,26734.844,49.399,0.013
22,1.325E-5,31300.880,17447.221,43547.789,46.548,0.037
23,6.001E-6,22244.056,17111.518,45551.828,19.983,0.017
24,1.313E-5,30304.140,17594.426,43972.242,27.553,0.037
25,7.501E-6,22923.816,16190.995,40398.227,47.726,0.021
26,1.250E-5,28305.557,16250.810,40313.277,43.363,0.035
27,7.876E-6,22233.867,17107.018,41344.586,39.806,0.022
28,1.288E-5,29081.104,17166.672,46888.793,41.820,0.036
29,7.626E-6,20631.667,15417.966,38692.785,0.000,0.021
30,1.413E-5,29322.323,15417.966,47951.555,0.000,0.040
31,7.376E-6,25757.256,18694.096,41203.570,56.310,0.020
32,1.275E-5,31743.917,18852.691,45939.676,56.310,0.036
33,6.751E-6,24256.943,19426.381,38982.129,8.746,0.019
34,1.388E-5,30070.055,17987.252,42015.977,33.111,0.039
35,6.626E-6,21588.967,16849.258,37822.500,0.000,0.018
36,1.450E-5,30187.942,16669.373,41945.383,-14.036,0.041
37,6.501E-6,22292.678,16944.490,39001.445,38.660,0.018
38,1.388E-5,29772.126,16792.297,40764.473,33.111,0.039
39,6.626E-6,21696.407,18276.529,37682.332,-4.399,0.018
40,1.313E-5,29103.344,18938.174,40539.152,-15.642,0.037
41,6.126E-6,20776.372,17189.195,29512.465,-4.764,0.017
42,1.363E-5,29131.286,17290.209,45374.035,15.068,0.038
43,6.876E-6,22971.512,18210.309,33564.895,-63.435,0.019
44,1.375E-5,30477.225,18315.342,43166.621,-66.251,0.039
45,6.626E-6,21919.404,17614.723,35244.047,22.620,0.018
46,1.313E-5,29869.620,17421.129,45671.172,27.553,0.037
47,6.126E-6,17443.787,14036.040,29204.574,48.366,0.017
48,1.338E-5,28838.732,13695.566,42247.219,37.304,0.037
49,6.001E-6,22466.581,18291.719,43776.648,59.036,0.016
50,1.263E-5,29850.464,18393.592,43341.777,61.390,0.035
51,7.126E-6,23719.037,18578.559,44234.504,-30.256,0.020
52,1.338E-5,30878.339,19233.375,46708.164,-29.476,0.037
53,7.251E-6,22508.490,18995.492,34319.316,12.095,0.020
54,1.388E-5,30388.285,18070.385,42006.469,19.093,0.039
55,6.626E-6,20992.884,17751.494,39186.746,4.399,0.018
56,1.413E-5,29365.864,15647.884,43116.641,14.534,0.039
57,6.751E-6,19439.993,14742.864,42323.582,-8.746,0.019
58,1.300E-5,29084.796,14847.365,42814.809,-20.556,0.036
59,7.251E-6,26784.794,22082.834,42684.129,45.000,0.020
60,1.413E-5,32900.554,21431.133,44900.898,34.824,0.040
61,7.626E-6,21387.848,17210.215,46299.406,-3.814,0.021
62,1.488E-5,29641.010,17130.918,43988.055,-9.782,0.042
63,7.126E-6,23172.289,18183.664,40450.629,0.000,0.020
64,1.350E-5,29593.787,17946.604,42501.844,-12.995,0.038
65,6.126E-6,23554.460,19687.434,37453.445,0.000,0.017
66,1.313E-5,31055.814,19687.434,44033.312,0.000,0.037
67,6.876E-6,20535.073,14066.838,30697.977,41.987,0.019
68,1.425E-5,30594.790,13977.277,45716.090,42.138,0.040
69,5.876E-6,30512.171,27523.639,42541.551,11.310,0.016
70,1.163E-5,39231.076,25869.613,49982.738,11.310,0.032
71,5.876E-6,25888.989,19017.033,44091.488,31.608,0.016
72,1.175E-5,36127.623,18853.424,49880.434,29.055,0.033
73,6.626E-6,30460.524,24369.201,47700.668,-13.241,0.019
74,1.263E-5,38296.995,24051.439,50326.988,-15.709,0.035
75,5.376E-6,28544.705,20864.105,47963.215,21.038,0.015
76,1.188E-5,39683.283,22920.014,50946.887,22.479,0.033
77,6.876E-6,29998.886,24088.438,47197.113,-3.180,0.019
78,1.313E-5,38792.869,25101.912,51266.996,-18.435,0.037
79,6.126E-6,25320.152,16334.765,47136.324,-21.801,0.017
80,1.188E-5,36166.311,17866.537,51274.070,-30.651,0.033
81,4.250E-6,29141.491,24348.430,37153.898,-5.194,0.012
82,1.250E-5,40612.473,26241.533,50152.609,1.736,0.035
83,4.876E-6,31311.445,27340.318,39112.855,38.660,0.014
84,1.188E-5,40744.355,28724.840,51883.863,39.806,0.033
85,5.376E-6,25739.588,20482.758,42367.164,0.000,0.015
86,1.175E-5,36934.601,22666.010,49409.199,-3.691,0.033
87,6.626E-6,23213.324,16633.016,37892.238,30.964,0.019
88,1.338E-5,36302.202,14968.005,51451.102,40.426,0.038
89,5.251E-6,27120.494,22388.307,43548.117,-17.103,0.014
90,1.250E-5,37860.753,22722.498,47801.758,-25.017,0.035
91,5.376E-6,29001.503,24592.613,44122.207,-4.086,0.015
92,1.250E-5,38424.496,24218.199,49630.102,0.000,0.035
93,4.250E-6,27146.063,22400.711,40077.055,5.194,0.012
94,1.125E-5,38759.913,23294.488,51402.453,19.654,0.032
95,3.500E-6,28418.317,26109.906,31080.209,26.565,0.009
96,1.100E-5,40699.538,25797.430,51752.141,26.565,0.031
97,5.126E-6,28128.405,22280.883,40030.250,-41.987,0.014
98,1.113E-5,39302.191,26201.701,51612.723,-38.047,0.031
99,4.876E-6,25771.430,22045.576,33291.414,28.610,0.013
100,1.175E-5,37357.848,22187.080,49716.957,20.772,0.033
101,6.251E-6,25197.075,17578.094,44384.824,42.510,0.017
102,1.263E-5,35472.060,21215.223,46877.527,43.781,0.035
103,5.001E-6,25755.786,20747.898,33817.488,-4.399,0.014
104,1.163E-5,36549.300,20769.295,48379.262,-13.134,0.033
105,4.876E-6,19946.486,15036.550,28483.160,-38.660,0.014
106,1.113E-5,33140.827,15134.305,47254.836,-35.311,0.031
107,4.876E-6,28458.065,25931.982,38736.004,28.610,0.013
108,1.163E-5,37394.049,23150.643,49571.137,35.754,0.033
109,5.501E-6,28257.880,22692.283,40955.129,33.690,0.015
110,1.213E-5,36611.775,23100.705,46207.320,38.660,0.034
111,4.876E-6,23464.965,20744.824,29724.719,-18.435,0.013
112,1.238E-5,34668.221,18648.316,46179.562,-23.429,0.035
113,5.376E-6,27866.567,21482.545,46320.844,68.962,0.015
114,1.200E-5,37421.438,21163.486,47727.781,114.146,0.034
115,6.001E-6,29162.666,23531.674,42967.746,50.194,0.017
116,1.125E-5,36529.235,23512.412,46627.293,45.000,0.032
117,5.501E-6,27022.722,22184.062,35472.613,-39.289,0.015
118,1.225E-5,35344.171,21930.512,45172.020,-33.690,0.034
119,5.376E-6,28947.643,23756.697,45052.086,30.256,0.015
120,1.263E-5,38577.668,24726.277,48846.547,38.928,0.035
121,5.751E-6,30198.306,22986.100,50803.219,7.595,0.016
122,1.100E-5,37218.003,23021.414,47676.754,15.945,0.031
123,4.501E-6,24332.983,21770.967,30060.283,-30.964,0.012
124,1.175E-5,35736.005,20418.729,47524.930,-24.905,0.033
125,5.751E-6,28444.993,23270.027,42999.855,7.595,0.016
126,1.238E-5,37873.376,23280.637,49171.078,10.620,0.035
127,5.001E-6,25721.900,21519.420,43998.398,22.620,0.014
128,1.238E-5,37046.721,20824.557,50055.188,31.264,0.035
129,4.876E-6,27855.652,23485.188,39404.473,-38.660,0.014
130,1.125E-5,38330.241,22749.068,49880.793,-32.619,0.031
131,5.876E-6,29029.985,23848.281,40473.816,31.608,0.016
132,1.363E-5,38188.850,25576.902,48723.406,30.141,0.038
133,5.251E-6,25282.055,20067.506,45919.883,17.103,0.014
134,1.013E-5,35288.378,19715.381,53789.492,26.565,0.028
135,6.501E-6,36256.714,27402.375,48288.879,-28.072,0.018
136,1.175E-5,41602.299,27375.057,50971.074,-29.055,0.033
137,3.875E-6,26265.606,22377.889,31305.521,-84.289,0.011
138,1.100E-5,38341.558,21580.117,53014.801,-88.025,0.031
139,6.126E-6,31122.237,24303.889,43542.309,-7.125,0.017
140,1.163E-5,38673.894,24605.746,50394.754,-11.310,0.032
141,5.376E-6,28523.691,22658.088,44972.602,-4.086,0.015
142,1.100E-5,37591.850,22683.504,48806.594,-1.975,0.031
143,5.126E-6,30305.335,26134.350,49423.434,48.013,0.014
144,1.063E-5,37930.995,25012.377,49469.070,55.176,0.030
145,5.376E-6,30260.283,24417.029,42140.797,-4.086,0.015
146,1.250E-5,39081.015,24322.936,48953.258,-5.194,0.035
147,4.250E-6,25360.330,22414.463,32318.562,0.000,0.012
148,1.100E-5,37382.834,21298.521,51315.285,5.906,0.031
149,5.876E-6,27308.957,24712.035,38641.395,31.608,0.016
150,1.163E-5,36625.778,23866.926,53181.742,35.754,0.033
151,6.001E-6,30767.165,20149.881,47816.004,-14.931,0.016
152,1.238E-5,38982.466,20058.201,50352.039,-27.350,0.035
153,4.501E-6,23447.269,19567.260,33205.949,19.983,0.012
154,1.238E-5,37319.383,18513.736,50163.164,31.264,0.035
155,5.126E-6,19157.737,14736.196,35622.164,48.013,0.014
156,1.375E-5,34258.777,13072.780,48314.984,37.185,0.039
157,5.751E-6,30993.201,27924.070,45828.312,7.595,0.016
158,1.425E-5,38801.201,27047.295,47663.117,21.801,0.040
159,4.876E-6,30766.068,27541.979,36677.820,-45.000,0.014
160,1.025E-5,38354.433,27337.158,48286.953,-41.987,0.029
161,4.876E-6,27185.417,20654.332,43420.695,45.000,0.014
162,1.200E-5,37509.487,22127.297,48456.945,46.273,0.034
163,6.376E-6,31349.043,23188.682,45393.254,32.735,0.018
164,1.188E-5,37077.939,23402.195,46055.078,39.806,0.033
165,5.001E-6,29421.400,25311.688,39214.465,32.471,0.014
166,1.100E-5,37364.286,24873.512,48076.027,26.565,0.031
167,3.625E-6,26541.294,22907.451,29438.238,-32.005,0.010
168,1.100E-5,36482.301,23367.811,46490.508,-30.964,0.031
169,5.126E-6,25881.056,21495.432,31719.850,12.995,0.014
170,1.038E-5,34604.504,21095.059,48944.969,8.427,0.029
171,5.376E-6,24726.051,19100.422,38440.621,21.038,0.015
172,1.188E-5,34930.486,19055.170,46498.602,30.651,0.033
173,4.876E-6,27304.148,21276.965,35840.480,-38.660,0.014
174,1.213E-5,37733.294,24869.934,49650.086,-41.186,0.034
175,4.501E-6,22722.135,18187.838,31293.814,19.983,0.012
176,1.150E-5,34786.532,17046.967,47005.043,23.199,0.032
177,5.376E-6,24306.238,16735.438,42189.465,-30.256,0.015
178,1.225E-5,36674.991,17967.461,50135.203,-25.769,0.034
179,3.500E-6,19989.935,18721.115,23864.201,-90.000,0.010
180,1.175E-5,34370.014,18400.258,47743.539,-88.152,0.033
181,5.751E-6,28087.397,19955.834,41664.301,3.814,0.016
182,1.100E-5,36125.781,18639.010,48298.547,5.906,0.031
183,5.001E-6,24883.362,17883.281,37649.629,-22.620,0.014
184,1.250E-5,37403.093,17627.207,50689.043,-19.537,0.035
185,7.001E-6,29839.158,22736.795,48757.371,40.601,0.020
186,1.338E-5,36800.536,22415.033,47996.984,40.426,0.038
187,6.126E-6,26775.670,21285.840,46748.379,-7.125,0.017
188,1.175E-5,35126.059,21452.840,50092.797,-14.931,0.033
189,4.626E-6,22706.935,19081.855,29356.895,48.366,0.013
190,1.313E-5,35897.878,20309.197,47492.273,46.169,0.037
191,4.501E-6,27290.133,23633.703,36917.629,30.964,0.012
192,1.038E-5,37459.901,24250.051,48901.500,33.111,0.029
193,4.626E-6,23342.755,15702.952,32924.457,9.462,0.013
194,1.288E-5,36439.677,16845.814,48995.688,24.305,0.036
195,6.501E-6,27484.998,20985.236,43752.602,28.072,0.018
196,1.300E-5,36930.755,21646.910,49309.570,29.539,0.037
197,6.126E-6,31702.760,27941.807,44123.590,7.125,0.017
198,1.138E-5,38077.006,27766.654,47780.629,0.000,0.032
199,6.626E-6,30468.526,23391.652,45652.027,23.629,0.019
200,1.250E-5,37657.377,25395.328,47798.387,28.887,0.035
201,4.876E-6,28782.088,23281.650,49292.227,-18.435,0.013
202,1.050E-5,37631.952,23077.477,50867.770,-37.694,0.029
203,5.876E-6,26703.253,22790.094,39186.566,-11.310,0.016
204,1.150E-5,35626.082,21254.961,49756.070,7.595,0.032
205,6.126E-6,30248.997,24124.266,45798.055,21.801,0.017
206,1.275E-5,38641.154,24128.922,51106.793,30.379,0.036
207,5.751E-6,28033.735,22441.646,43201.074,-3.814,0.016
208,1.188E-5,37368.086,25663.154,48193.500,-16.699,0.033
209,5.751E-6,33455.815,27844.012,44522.777,42.274,0.016
210,1.150E-5,40286.826,28569.309,49352.223,48.991,0.032
211,4.626E-6,24716.109,20716.289,35957.234,4.764,0.013
212,1.188E-5,37356.049,21288.166,49450.031,-9.162,0.033
213,5.501E-6,29538.637,24061.295,49816.312,33.690,0.015
214,1.163E-5,37567.858,23203.455,48461.125,38.367,0.032
215,5.751E-6,28859.053,22341.438,43993.668,-19.654,0.016
216,1.150E-5,37282.300,22746.178,48402.410,-27.408,0.032
217,5.251E-6,25100.482,19395.949,38190.949,17.103,0.014
218,1.075E-5,34457.106,19405.654,49166.719,10.125,0.030
219,6.126E-6,28393.240,21959.496,43622.090,29.745,0.017
220,1.050E-5,36956.050,28110.092,47369.180,49.399,0.029
221,5.251E-6,24651.962,19368.721,39871.828,-17.103,0.014
222,1.138E-5,35694.337,19473.469,48093.039,-29.982,0.032
223,6.126E-6,31095.250,26544.523,43408.625,-3.576,0.017
224,1.263E-5,38112.067,27060.375,46743.328,-6.911,0.035
225,4.125E-6,26389.376,22198.914,32128.916,48.814,0.011
226,1.175E-5,37894.249,22455.775,48632.520,42.397,0.033
227,5.751E-6,26864.399,20578.590,42973.660,-7.595,0.016
228,1.275E-5,36244.357,20552.859,46585.691,-11.976,0.036
229,6.001E-6,30067.381,24473.803,44958.820,-14.931,0.016
230,1.363E-5,38856.341,24291.789,48491.957,-30.141,0.038
231,5.751E-6,27632.658,21836.947,41506.953,19.654,0.016
232,1.175E-5,37795.612,20121.584,51670.504,-3.691,0.033
233,6.126E-6,32298.237,26176.328,46780.219,7.125,0.017
234,1.200E-5,39088.342,26164.391,53571.020,10.954,0.033
235,5.126E-6,25494.537,18622.738,35794.137,-41.987,0.014
236,1.238E-5,37640.248,18626.678,49824.840,-45.000,0.035
237,5.751E-6,25039.298,21264.775,41928.914,3.814,0.016
238,1.175E-5,36094.822,19986.010,49704.379,14.931,0.033
239,5.376E-6,29666.618,25385.168,46321.859,21.038,0.015
240,1.200E-5,39026.439,24473.389,50743.430,24.146,0.034
241,5.251E-6,29590.655,23823.152,42788.352,36.027,0.014
242,1.300E-5,39326.571,24500.580,50452.344,35.538,0.036
243,5.501E-6,26357.333,23741.998,34361.613,-24.775,0.015
244,1.275E-5,36301.646,23564.373,51730.938,-26.565,0.036
245,4.000E-6,27558.259,24637.725,32824.324,73.301,0.011
246,1.188E-5,40338.421,24613.426,52699.586,73.301,0.033
247,5.501E-6,23003.001,13512.831,33832.523,33.690,0.015
248,1.263E-5,34767.798,17650.951,45782.984,32.735,0.035
249,5.876E-6,26957.053,23530.125,36227.324,-23.199,0.016
250,1.200E-5,35714.986,22096.420,49337.020,-28.179,0.034
251,5.501E-6,28333.586,22445.771,43375.410,12.095,0.015
252,1.113E-5,36731.420,22168.104,48160.180,7.853,0.031
253,6.251E-6,29076.879,24944.713,44672.449,37.569,0.017
254,1.263E-5,37739.633,25191.031,48977.281,41.348,0.035
255,6.751E-6,32259.476,24177.965,47503.508,-16.390,0.019
256,1.188E-5,37393.839,23285.385,48919.734,-26.565,0.033
257,4.626E-6,25531.639,20703.246,39237.918,90.000,0.013
258,1.100E-5,38212.523,23227.314,52483.484,95.906,0.031
259,4.876E-6,28443.700,24417.162,37881.445,28.610,0.013
260,1.075E-5,38428.510,23097.160,51064.750,27.474,0.030
261,6.001E-6,25598.316,18643.834,41265.340,-14.931,0.016
262,1.300E-5,37187.066,19014.938,51329.656,-16.858,0.037
263,4.876E-6,27779.542,24948.639,33911.031,51.340,0.014
264,1.213E-5,38428.950,21801.582,49573.418,38.660,0.034
265,5.751E-6,29461.874,24985.875,42066.523,-7.595,0.016
266,1.188E-5,38292.206,23415.623,51818.574,-9.162,0.033
267,5.126E-6,27635.288,24139.629,31841.990,26.565,0.014
268,1.350E-5,39069.167,25519.818,49465.957,26.565,0.038
269,4.876E-6,27388.803,23496.238,38219.203,-18.435,0.013
270,1.138E-5,38124.475,23380.941,48715.582,-29.982,0.032
271,5.376E-6,21190.882,16898.988,27810.605,30.256,0.015
272,1.038E-5,33729.429,16186.093,49625.871,-23.749,0.029
273,5.001E-6,30098.263,25617.141,46228.680,22.620,0.014
274,1.188E-5,40187.473,26073.387,51417.578,16.699,0.033
275,6.001E-6,31278.752,23511.521,50749.332,-26.565,0.017
276,1.163E-5,39719.933,23925.869,50865.594,-19.026,0.033
277,4.626E-6,25114.082,21779.561,29696.281,24.444,0.013
278,1.100E-5,36612.209,22432.473,49291.801,22.166,0.031
279,5.876E-6,27593.186,24933.203,44007.336,66.801,0.016
280,1.150E-5,36840.602,24135.994,50742.082,62.592,0.032
281,5.876E-6,25502.364,17198.043,41592.578,-31.608,0.016
282,1.400E-5,38222.310,17331.293,51095.855,-27.255,0.039
283,6.126E-6,27086.867,21607.729,48092.152,21.801,0.017
284,1.238E-5,37244.769,20682.760,50277.754,37.569,0.035
285,5.501E-6,25774.564,20155.588,48980.078,-33.690,0.015
286,1.113E-5,37196.339,20497.738,50618.809,-38.047,0.031
287,4.626E-6,24870.298,17842.316,43414.988,41.634,0.013
288,1.200E-5,36691.122,17030.121,49739.684,34.695,0.034
289,5.001E-6,26944.931,18329.744,40809.410,57.529,0.014
290,1.050E-5,37966.791,17683.697,51920.426,46.469,0.029
291,5.876E-6,30633.240,20861.500,46012.879,11.310,0.016
292,1.313E-5,39591.225,22369.316,50293.059,11.634,0.037
293,6.001E-6,26624.412,20860.375,47274.578,-14.931,0.016
294,1.338E-5,37016.952,19686.100,49057.969,-21.501,0.038
295,4.876E-6,24627.190,20780.240,33520.344,18.435,0.013
296,1.175E-5,36435.934,20831.301,48161.188,33.179,0.033
297,5.251E-6,27310.461,21729.844,40625.965,36.027,0.014
298,1.188E-5,36674.587,22201.238,47311.602,26.565,0.033
299,6.251E-6,30620.554,26424.209,42575.555,42.510,0.017
300,1.413E-5,38206.833,27006.344,47423.129,34.114,0.040
301,5.001E-6,26561.901,22329.252,37215.930,22.620,0.014
302,1.163E-5,37007.221,24238.246,48042.367,35.754,0.033
303,6.001E-6,28221.924,24979.676,40222.227,50.194,0.017
304,1.288E-5,36715.523,23873.852,47048.781,61.928,0.036
305,4.375E-6,26367.547,23896.051,33591.016,-45.000,0.012
306,1.163E-5,37785.067,22448.305,51383.551,-38.367,0.032
307,4.876E-6,26908.953,20458.275,37214.211,28.610,0.013
308,1.125E-5,37936.630,24256.123,49357.219,28.301,0.031
309,5.751E-6,24773.308,19854.139,43486.098,-3.814,0.016
310,1.175E-5,34891.500,19739.830,46454.699,-5.528,0.033
311,3.500E-6,27016.149,25614.426,28733.266,26.565,0.009
312,1.063E-5,38372.079,25843.590,48662.352,34.824,0.030
313,6.001E-6,25227.723,17416.158,44730.699,-45.000,0.017
314,1.263E-5,35718.090,21012.703,49120.746,-41.348,0.035
315,5.751E-6,24355.749,16065.469,41997.098,-3.814,0.016
316,1.188E-5,34782.921,16109.453,47908.523,-9.162,0.033
317,7.126E-6,29754.972,20398.070,46544.000,-36.254,0.020
318,1.313E-5,37190.539,20614.045,48732.969,-33.232,0.037
319,6.001E-6,23384.817,16180.693,54423.797,-26.565,0.017
320,1.263E-5,35793.266,16230.235,53393.277,-21.161,0.035
321,4.876E-6,24176.186,18648.084,38173.793,28.610,0.013
322,1.175E-5,36793.759,20510.084,49203.238,29.055,0.033
323,6.001E-6,31966.541,29471.070,38662.652,14.931,0.016
324,1.200E-5,38681.810,29812.371,47655.246,18.435,0.034
325,5.751E-6,26098.410,22681.818,45219.348,0.000,0.016
326,1.300E-5,35579.842,22674.115,47763.527,-6.710,0.036
327,5.001E-6,24822.789,19740.799,33616.816,0.000,0.014
328,1.175E-5,36228.220,19836.775,47651.047,0.000,0.033
329,5.251E-6,27152.726,21312.238,33869.957,-17.103,0.014
330,1.088E-5,35690.203,21289.668,47799.145,-20.323,0.031
331,6.126E-6,27674.642,20578.547,45513.992,60.255,0.017
332,1.188E-5,35680.083,21274.260,47935.066,37.235,0.033
333,5.751E-6,26275.186,21306.000,44216.328,0.000,0.016
334,1.275E-5,35463.874,18714.293,46785.910,-10.305,0.036
335,5.501E-6,27044.364,25465.273,32405.424,65.225,0.015
336,1.150E-5,35163.959,24088.342,45446.359,55.784,0.032
337,5.126E-6,18614.206,15418.233,34073.020,41.987,0.014
338,1.263E-5,33796.885,14623.058,49150.051,41.348,0.035
339,6.001E-6,27178.577,20866.018,37032.059,-18.435,0.017
340,1.413E-5,37018.807,20290.777,49562.914,-20.376,0.040
341,5.251E-6,24911.998,21364.508,42193.652,17.103,0.014
342,1.138E-5,35082.045,21219.191,46117.812,-1.909,0.032
343,5.751E-6,20313.265,18276.754,25668.039,7.595,0.016
344,1.188E-5,31702.650,18216.582,48371.824,7.352,0.033
345,4.876E-6,25813.596,20916.496,33846.516,-28.610,0.013
346,1.300E-5,36984.030,20897.527,48488.746,-37.875,0.036
347,5.751E-6,35131.660,26741.750,50439.648,-19.654,0.016
348,1.188E-5,39800.111,25251.342,47985.969,-30.651,0.033
349,5.501E-6,25928.161,21247.039,36260.699,24.775,0.015
350,1.200E-5,35489.998,21280.643,45618.906,24.146,0.034
351,5.751E-6,24897.195,20634.051,47137.520,19.654,0.016
352,1.200E-5,36995.018,23463.988,52231.598,24.146,0.034
353,4.501E-6,24136.553,21183.299,43443.184,-30.964,0.012
354,1.238E-5,36180.679,20936.109,48966.000,-27.350,0.035
355,5.126E-6,23243.340,18317.016,44182.984,26.565,0.014
356,1.188E-5,34521.748,17338.428,46481.910,22.479,0.033
357,5.626E-6,26493.915,22331.416,44175.191,-28.301,0.016
358,1.113E-5,35541.883,22257.029,46667.066,-35.311,0.031
359,5.001E-6,31505.635,29482.459,35313.133,0.000,0.014
360,1.250E-5,39190.991,29697.174,50826.168,5.194,0.035
361,4.375E-6,21164.433,16994.865,30101.783,-26.565,0.012
362,1.100E-5,35044.944,15637.987,51015.977,-33.690,0.031
363,6.126E-6,27934.878,23347.883,45417.043,29.745,0.017
364,1.275E-5,37099.504,21529.105,49736.773,30.379,0.036
365,4.626E-6,25525.035,21710.521,33124.730,24.444,0.013
366,1.325E-5,38675.716,21859.201,49427.988,27.300,0.037
367,5.126E-6,21682.903,16789.414,33451.777,-12.995,0.014
368,1.363E-5,36023.723,16787.596,49304.672,-14.421,0.038
369,5.001E-6,26752.628,22207.277,35665.520,4.399,0.014
370,1.338E-5,38659.659,22121.691,49615.160,6.520,0.037
371,4.626E-6,25352.224,21631.277,34788.719,0.000,0.013
372,1.288E-5,38472.931,21941.154,49331.566,-5.042,0.036
373,5.001E-6,25225.886,19738.111,37727.035,22.620,0.014
374,1.388E-5,37970.482,21336.893,48698.406,25.866,0.039
375,4.375E-6,27232.713,20688.420,32191.713,10.305,0.012
376,1.138E-5,37012.160,23150.293,46812.664,3.814,0.032
377,5.376E-6,28708.870,23278.988,42874.992,8.130,0.015
378,1.200E-5,36608.469,23238.264,46360.051,10.954,0.033
379,5.126E-6,27860.463,21326.240,47224.965,26.565,0.014
380,1.200E-5,36331.368,21960.018,46352.867,18.435,0.034
381,5.251E-6,25651.966,23189.738,31235.023,-17.103,0.014
382,1.175E-5,35004.164,23011.625,46848.688,-20.772,0.033
383,4.626E-6,19912.684,15958.604,38168.543,41.634,0.013
384,1.138E-5,32503.635,15810.588,45762.961,21.448,0.032
385,3.875E-6,27156.481,25512.297,31726.561,0.000,0.011
386,1.013E-5,36385.250,25809.768,46877.824,-19.799,0.028
387,5.376E-6,28916.912,22853.201,38224.152,-8.130,0.015
388,1.438E-5,39606.523,21764.516,51704.836,-1.507,0.040
389,6.126E-6,27876.256,21193.648,49828.152,3.576,0.017
390,1.188E-5,38064.214,22967.027,56073.902,-16.699,0.033
391,5.376E-6,28902.766,24637.053,46269.250,-30.256,0.015
392,1.188E-5,38415.104,23772.346,50469.543,-22.479,0.033
393,6.126E-6,27005.492,19903.559,53759.852,29.745,0.017
394,1.150E-5,38694.376,24973.254,53669.398,27.408,0.032
395,5.876E-6,23706.566,19562.203,40895.980,-11.310,0.016
396,1.250E-5,35239.203,19244.828,49895.609,-14.036,0.035
397,5.751E-6,28421.526,26064.641,40112.195,-19.654,0.016
398,1.225E-5,38007.137,26964.357,52463.387,-25.769,0.034
399,4.876E-6,29143.770,26717.945,34403.691,45.000,0.014
400,1.263E-5,38545.502,26059.080,55643.500,41.348,0.035
401,6.001E-6,26706.251,23002.898,41004.383,-14.931,0.016
402,1.163E-5,35722.015,23206.885,50441.293,-19.026,0.033
403,6.001E-6,29555.118,22730.590,46172.770,26.565,0.017
404,1.238E-5,38294.718,22686.445,51516.797,31.264,0.035
405,5.876E-6,28962.742,20902.775,51692.734,-23.199,0.016
406,1.163E-5,37879.142,23041.701,51364.719,-31.608,0.032
407,5.001E-6,24661.646,19067.973,30625.865,0.000,0.014
408,1.138E-5,36463.062,19067.973,54473.703,0.000,0.032
409,5.876E-6,27095.429,18915.143,51730.922,-11.310,0.016
410,1.238E-5,38278.155,20102.225,52503.352,-10.620,0.035
411,4.626E-6,27483.889,24841.736,37640.551,-9.462,0.013
