 ,Area,Mean,Min,Max,Angle,Length
1,1.338E-5,41382.091,29466.588,51370.566,27.532,0.037
2,1.275E-5,41091.464,27493.434,54567.043,36.529,0.036
3,1.138E-5,42060.145,32207.082,54291.133,28.560,0.032
4,1.125E-5,42895.675,27705.389,52865.059,-31.734,0.032
5,1.188E-5,41677.800,30821.686,51816.289,30.124,0.033
6,1.388E-5,40287.719,27597.133,51675.195,33.111,0.039
7,1.250E-5,40116.641,26753.520,53312.496,-18.252,0.035
8,1.200E-5,40446.798,26856.354,52328.969,-20.344,0.034
9,1.275E-5,40736.778,28818.748,51295.953,1.134,0.036
10,1.263E-5,40026.634,28032.846,54462.035,-9.744,0.036
11,1.175E-5,41531.787,29194.230,52870.430,30.434,0.033
12,1.238E-5,37915.229,20902.904,52515.734,-22.891,0.035
13,1.275E-5,41234.768,25259.023,54164.750,-25.805,0.036
14,1.325E-5,39047.986,20543.812,55049.098,45.774,0.037
15,1.200E-5,40351.367,26534.514,51674.191,36.027,0.034
16,1.213E-5,39626.427,22305.006,54074.867,-30.041,0.034
17,1.288E-5,39207.756,26160.682,51083.086,31.350,0.036
18,1.263E-5,39013.602,23343.182,54263.488,-34.804,0.035
19,1.213E-5,40269.770,24833.924,54755.703,-19.374,0.034
20,1.288E-5,41976.427,29927.699,52218.145,18.970,0.036
21,1.150E-5,40621.208,26548.588,52341.832,-19.822,0.032
22,1.250E-5,40240.950,26809.225,52757.340,40.475,0.035
23,1.288E-5,36535.941,16672.727,52591.699,52.568,0.036
24,1.238E-5,41629.875,27747.152,51910.359,-24.201,0.035
25,1.275E-5,41422.176,27892.527,52298.852,20.225,0.036
26,1.188E-5,40232.132,26187.498,53614.086,13.591,0.033
27,1.200E-5,38151.246,23730.830,51787.504,14.036,0.034
28,1.200E-5,40713.106,26667.486,53089.934,22.805,0.034
29,1.300E-5,36616.666,23923.035,48382.043,28.301,0.037
30,1.213E-5,36530.055,23224.789,47252.445,28.706,0.034
31,1.188E-5,37134.410,21125.365,49724.730,39.417,0.033
32,1.200E-5,37432.505,23956.064,48323.625,-24.146,0.034
33,1.175E-5,38557.863,27451.779,49476.137,-47.186,0.033
34,1.213E-5,37529.436,25310.244,49203.309,7.792,0.034
35,1.350E-5,36979.452,24887.041,48488.309,-9.111,0.038
36,1.125E-5,38436.509,25766.881,49512.645,-34.939,0.031
37,1.275E-5,38163.359,25149.990,52376.656,40.170,0.036
38,1.300E-5,38176.387,24330.062,48219.453,-17.554,0.036
39,1.238E-5,36261.529,19666.322,48272.473,-4.086,0.035
40,1.213E-5,38295.988,25653.945,52478.309,-12.011,0.034
41,1.188E-5,37752.352,25125.572,49699.422,-42.847,0.033
42,1.213E-5,38600.067,27671.309,50396.203,32.699,0.034
43,1.225E-5,36378.802,20260.289,47833.113,38.290,0.034
44,1.138E-5,39864.627,24356.988,53772.816,-22.865,0.032
45,1.238E-5,38369.141,24691.500,51609.742,7.633,0.035
46,1.163E-5,40076.194,26616.100,50386.719,45.881,0.033
47,1.125E-5,39870.845,26014.385,49739.156,-23.962,0.031
48,1.238E-5,38245.654,26555.926,50495.629,-15.306,0.035
49,1.263E-5,37354.318,21647.791,51813.824,47.420,0.036
50,1.250E-5,39486.265,25066.172,52384.859,-29.673,0.035
51,1.125E-5,38148.950,24133.930,53192.793,41.367,0.032
52,1.275E-5,38972.440,24630.447,52200.191,-24.538,0.036
53,1.213E-5,39152.548,28301.865,52607.051,35.676,0.034
54,1.175E-5,39305.926,27123.775,53029.742,-11.189,0.033
55,1.350E-5,39340.247,26796.398,51116.859,-4.276,0.038
56,1.288E-5,39642.891,28656.186,51768.406,-28.566,0.036
57,1.275E-5,38638.934,21985.553,49247.941,-4.529,0.036
58,1.263E-5,39109.538,23157.941,51679.828,-32.735,0.035
59,1.325E-5,39205.127,25382.385,50525.676,32.932,0.037
60,1.213E-5,39472.059,26895.096,50968.418,-20.136,0.034
61,1.200E-5,39530.358,26260.557,51396.652,45.000,0.034
